[29Aug2024 20:41:28.364] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgedatauserdev, --assetIndex, 5, --assetsDir, C:\Users\Seth\.gradle\caches\forge_gradle\assets, --gameDir, ., --fml.forgeVersion, 47.2.20, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412, --mod, kenjiscombatforms, --all, --output, D:\02 Seth Folder\S 04 Seths Game Folder\Seth Game Folder\Mod Dev\forge-kenjis_combat_forms-1.20.1\src\generated\resources, --existing, D:\02 Seth Folder\S 04 Seths Game Folder\Seth Game Folder\Mod Dev\forge-kenjis_combat_forms-1.20.1\src\main\resources]
[29Aug2024 20:41:28.370] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.11 by Eclipse Adoptium; OS Windows 10 arch amd64 version 10.0
[29Aug2024 20:41:28.481] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forgedatauserdev
[29Aug2024 20:41:28.523] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/Seth/.gradle/caches/modules-2/files-2.1/org.spongepowered/mixin/0.8.5/9d1c0c3a304ae6697ecd477218fa61b850bf57fc/mixin-0.8.5.jar%23128!/ Service=ModLauncher Env=CLIENT
[29Aug2024 20:41:28.769] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\Seth\.gradle\caches\modules-2\files-2.1\net.minecraftforge\javafmllanguage\1.20.1-47.2.20\918959a037ab7191a0c45a359f4746ab76c110c3\javafmllanguage-1.20.1-47.2.20.jar is missing mods.toml file
[29Aug2024 20:41:28.772] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\Seth\.gradle\caches\modules-2\files-2.1\net.minecraftforge\lowcodelanguage\1.20.1-47.2.20\c1d1efcb98e8bfcf3dbfed0d1e81b55b648b86bf\lowcodelanguage-1.20.1-47.2.20.jar is missing mods.toml file
[29Aug2024 20:41:28.774] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\Seth\.gradle\caches\modules-2\files-2.1\net.minecraftforge\mclanguage\1.20.1-47.2.20\efca3bee89c0085192b122d47334692b921ca7d1\mclanguage-1.20.1-47.2.20.jar is missing mods.toml file
[29Aug2024 20:41:28.776] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\Seth\.gradle\caches\modules-2\files-2.1\net.minecraftforge\fmlcore\1.20.1-47.2.20\12cd436f148405b50c9b16bd8f3cc6f18db89824\fmlcore-1.20.1-47.2.20.jar is missing mods.toml file
[29Aug2024 20:41:28.875] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator/]: No dependencies to load found. Skipping!
[29Aug2024 20:41:30.113] [main/INFO] [mixin/]: Compatibility level set to JAVA_17
[29Aug2024 20:41:30.117] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'forgedatauserdev' with arguments [--gameDir, ., --assetsDir, C:\Users\Seth\.gradle\caches\forge_gradle\assets, --assetIndex, 5, --mod, kenjiscombatforms, --all, --output, D:\02 Seth Folder\S 04 Seths Game Folder\Seth Game Folder\Mod Dev\forge-kenjis_combat_forms-1.20.1\src\generated\resources, --existing, D:\02 Seth Folder\S 04 Seths Game Folder\Seth Game Folder\Mod Dev\forge-kenjis_combat_forms-1.20.1\src\main\resources]
[29Aug2024 20:41:30.476] [main/INFO] [mixin/]: Remapping refMap patchouli.refmap.json using D:\02 Seth Folder\S 04 Seths Game Folder\Seth Game Folder\Mod Dev\forge-kenjis_combat_forms-1.20.1\build\createSrgToMcp\output.srg
[29Aug2024 20:41:30.477] [main/INFO] [mixin/]: Remapping refMap epicfight.mixins.refmap.json using D:\02 Seth Folder\S 04 Seths Game Folder\Seth Game Folder\Mod Dev\forge-kenjis_combat_forms-1.20.1\build\createSrgToMcp\output.srg
[29Aug2024 20:41:30.853] [main/INFO] [net.minecraftforge.data.loading.DatagenModLoader/]: Initializing Data Gatherer for mods [kenjiscombatforms]
[29Aug2024 20:41:32.290] [main/WARN] [mixin/]: @Final field nextHeadUpdate:[I in epicfight.mixins.json:MixinWitherBoss should be final
[29Aug2024 20:41:32.290] [main/WARN] [mixin/]: @Final field idleHeadUpdates:[I in epicfight.mixins.json:MixinWitherBoss should be final
[29Aug2024 20:41:35.037] [modloading-worker-0/INFO] [net.minecraftforge.common.ForgeMod/FORGEMOD]: Forge mod loading, version 47.2.20, for MC 1.20.1 with MCP 20230612.114412
[29Aug2024 20:41:35.038] [modloading-worker-0/INFO] [net.minecraftforge.common.MinecraftForge/FORGE]: MinecraftForge v47.2.20 Initialized
[29Aug2024 20:41:35.282] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:battojutsu_passive
[29Aug2024 20:41:35.283] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:rushing_tempo
[29Aug2024 20:41:35.284] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:demonic_ascension
[29Aug2024 20:41:35.284] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:relentless_combo
[29Aug2024 20:41:35.285] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:regierung
[29Aug2024 20:41:35.286] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:liechtenauer
[29Aug2024 20:41:35.286] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:sharp_stab
[29Aug2024 20:41:35.287] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:eviscerate
[29Aug2024 20:41:35.288] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:lunar_eclipse
[29Aug2024 20:41:35.289] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:solar_arcano
[29Aug2024 20:41:35.295] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:counter_attack
[29Aug2024 20:41:35.299] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:perfect_bulwark
[29Aug2024 20:41:35.301] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:vengeful_parry
[29Aug2024 20:41:35.302] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:arrow_tenacity
[29Aug2024 20:41:35.303] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:pain_anticipation
[29Aug2024 20:41:35.304] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:latent_retribution
[29Aug2024 20:41:35.305] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:vampirize
[29Aug2024 20:41:35.307] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:critical_knowledge
[29Aug2024 20:41:35.308] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:heart_shield
[29Aug2024 20:41:35.311] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:mindset
[29Aug2024 20:41:35.313] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:adrenaline
[29Aug2024 20:41:35.315] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:dancing_blade
[29Aug2024 20:41:35.316] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:blade_rush
[29Aug2024 20:41:35.317] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:wrathful_lighting
[29Aug2024 20:41:35.318] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:meditation
[29Aug2024 20:41:35.318] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:tsunami
[29Aug2024 20:41:35.320] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:everlasting_allegiance
[29Aug2024 20:41:35.324] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:meteor_slam
[29Aug2024 20:41:35.330] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:revelation
[29Aug2024 20:41:35.331] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:demolition_leap
[29Aug2024 20:41:35.333] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:phantom_ascent
[29Aug2024 20:41:35.424] [modloading-worker-0/INFO] [mezz.jei.library.load.PluginCaller/]: Sending ConfigManager...
[29Aug2024 20:41:35.430] [modloading-worker-0/INFO] [mezz.jei.library.load.PluginCaller/]: Sending ConfigManager took 4.394 ms
[29Aug2024 20:41:35.853] [main/WARN] [net.minecraft.server.packs.VanillaPackResourcesBuilder/]: Assets URL 'union:/C:/Users/Seth/.gradle/caches/forge_gradle/minecraft_user_repo/net/minecraftforge/forge/1.20.1-47.2.20_mapped_official_1.20.1/forge-1.20.1-47.2.20_mapped_official_1.20.1.jar%23191!/assets/.mcassetsroot' uses unexpected schema
[29Aug2024 20:41:35.854] [main/WARN] [net.minecraft.server.packs.VanillaPackResourcesBuilder/]: Assets URL 'union:/C:/Users/Seth/.gradle/caches/forge_gradle/minecraft_user_repo/net/minecraftforge/forge/1.20.1-47.2.20_mapped_official_1.20.1/forge-1.20.1-47.2.20_mapped_official_1.20.1.jar%23191!/data/.mcassetsroot' uses unexpected schema
[29Aug2024 20:41:35.995] [main/INFO] [net.minecraft.data.DataGenerator/]: All providers took: 0 ms
[29Aug2024 20:41:35.998] [main/INFO] [net.minecraft.data.HashCache/]: Caching: total files: 1, old count: 0, new count: 1, removed stale: 1, written: 0
